Date,Filename,Original Size (B),Optimized To (B),Savings (%)
8/23/2014 2:12:29 AM,images/loader-small-grey.gif,1849,1435,22.4
8/23/2014 2:12:29 AM,images/build-throbber.gif,1924,1767,8.2
8/23/2014 2:12:29 AM,images/browser_safari.gif,4834,4826,0.2
8/23/2014 2:12:29 AM,images/browser_opera.gif,4340,3281,24.4
8/23/2014 2:12:29 AM,images/browser_msie.gif,5652,4593,18.7
8/23/2014 2:12:29 AM,images/browser_konqueror.gif,6536,6505,0.5
8/23/2014 2:12:29 AM,images/browser_firefox.gif,5762,4703,18.4
8/23/2014 2:12:29 AM,images/browser_chrome.gif,5087,4028,20.8
8/23/2014 2:12:29 AM,images/background_browser.gif,753,745,1.1
8/23/2014 2:12:30 AM,images/ajax-loader.gif,3208,1786,44.3
8/23/2014 2:12:30 AM,images/ajax-loader-2.gif,723,525,27.4
8/23/2014 2:12:30 AM,Content/Templates/42806/site/images/fancybox/fancybox_loading.gif,3866,3757,2.8
8/23/2014 2:12:30 AM,Content/Templates/42806/site/images/fancybox/blank.gif,43,43,0
8/23/2014 2:12:30 AM,Content/Templates/42806/site/images/preloader.gif,9289,4047,56.4
8/23/2014 2:12:30 AM,Content/Templates/42180/site/images/spacer.gif,43,43,0
8/23/2014 2:12:30 AM,Content/Templates/42180/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:30 AM,Content/Templates/41990/site/images/spacer.gif,43,43,0
8/23/2014 2:12:31 AM,Content/Templates/41990/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:31 AM,Content/Templates/41832/site/images/spacer.gif,43,43,0
8/23/2014 2:12:31 AM,Content/Templates/41832/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:31 AM,Content/Templates/41655/site/images/spacer.gif,43,43,0
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/totop.gif,1305,112,91.4
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/submenu-marker.gif,1239,46,96.3
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/menu-separator.gif,1362,161,88.2
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/menu-arrow.gif,60,54,10
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/button-tail.gif,1489,296,80.1
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/box-tail.gif,1349,148,89
8/23/2014 2:12:31 AM,Content/Templates/41405/site/images/body-tail.gif,1751,550,68.6
8/23/2014 2:12:32 AM,Content/Templates/41404/site/images/spacer.gif,43,43,0
8/23/2014 2:12:32 AM,Content/Templates/41404/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:32 AM,Content/Templates/41403/site/images/spacer.gif,43,43,0
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/spacer.gif,43,43,0
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/pags.gif,46,38,17.4
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/box-4.gif,47,39,17
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/box-3.gif,47,39,17
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/box-2.gif,47,39,17
8/23/2014 2:12:32 AM,Content/Templates/41261/site/images/box-1.gif,47,39,17
8/23/2014 2:12:32 AM,Content/Templates/41211/site/images/prettyPhoto/light_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:32 AM,Content/Templates/41211/site/images/prettyPhoto/light_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/light_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/light_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/facebook/loader.gif,2545,2506,1.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/facebook/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/default/loader.gif,6331,4987,21.2
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/dark_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/dark_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/dark_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/prettyPhoto/dark_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:33 AM,Content/Templates/41211/site/images/body-tail.gif,1940,741,61.8
8/23/2014 2:12:34 AM,Content/Templates/41210/site/images/prettyPhoto/light_square/loader.gif,2545,2506,1.5
